player_id,player,team,position,nineties,completed_passes,attempted_passes,completion_pct
5eecec3d,John Stones,England,DF,3.7,,,
e17c2cec,Redouane Halhal,Morocco,DF,2.0,,,
c2f23fc8,Moïse Bombito,Canada,DF,2.1,,,
02c15616,Marcos Llorente,Spain,DF,2.1,,,
740a0e28,Milad Mohammadi,IR Iran,DF,2.3,,,
05439de2,David Alaba,Austria,DF,3.1,,,
20700569,Sidny Lopes Cabral,Cabo Verde,DF,3.2,,,
caa254e4,Saud Abdulhamid,Saudi Arabia,DF,3.0,,,
21932982,Deveron Fonville,Curaçao,DF,2.7,,,
9b398aea,Rayan Aït-Nouri,Algeria,DF,3.2,,,
a9ee5e81,Ricardo Adé,Haiti,DF,3.0,,,
0a6dbbf7,Brandon Mechele,Belgium,DF,6.3,,,
b3af9be1,Takehiro Tomiyasu,Japan,DF,2.0,,,
119b9a8e,Aymeric Laporte,Spain,DF,8.1,,,
bf7a9d1a,Juriën Gaari,Curaçao,DF,1.8,,,
bb1f97f2,Aubrey Modiba,South Africa,DF,3.8,,,
932f8e2b,Nkosinathi Sibisi,South Africa,DF,1.0,,,
b060e3b8,Ehsan Hajsafi,IR Iran,DF,1.0,,,
03053fbf,Abdulla Abdullaev,Uzbekistan,DF,2.0,,,
3724baa1,Fredrik André Bjørkan,Norway,DF,0.5,,,
1daec722,Marc Cucurella,Spain,DF,8.3,,,
e06683ca,Virgil van Dijk,Netherlands,DF,4.3,,,
57fe6b9b,Henrik Falchener,Norway,DF,0.7,,,
778ef829,Daniel Muñoz,Colombia,DF,4.4,,,
a5f5d094,Mark McKenzie,USA,DF,1.0,,,
30e03a25,Stjepan Radeljić,Bosnia–Herz,DF,2.0,,,
d494882e,Maxim De Cuyper,Belgium,DF,4.9,,,
426dda23,Tarik Muharemovic,Bosnia–Herz,DF,2.9,,,
d0846b6c,Jesús Gallardo,Mexico,DF,4.1,,,
6e33125f,Kevin Danso,Austria,DF,2.7,,,
314d95ac,Saeid Ezatolahi,IR Iran,MF,2.9,,,
32d4f1e1,Amer Jamous,Jordan,MF,0.2,,,
c7aee75b,Aiden O'Neill,Australia,MF,4.0,,,
c6415ba9,Zizo,Egypt,MF,0.6,,,
0959c2a2,Federico Valverde,Uruguay,MF,2.6,,,
b39849eb,Yoel Bárcenas,Panama,MF,2.8,,,
93945a50,Bazoumana Touré,Côte d'Ivoire,MF,0.9,,,
546d38f9,Tshepang Moremi,South Africa,MF,0.4,,,
ae4fc6a4,Eberechi Eze,England,MF,2.3,,,
de31038e,Elliot Anderson,England,MF,7.0,,,
26ce2263,Ryan Christie,Scotland,MF,1.1,,,
6e98c19f,Jordy Alcivar,Ecuador,MF,0.5,,,
ca22ccb0,Hannibal Mejbri,Tunisia,MF,3.0,,,
983515f8,Liam Millar,Canada,MF,1.8,,,
40cb6b33,Nishan Velupillay,Australia,MF,0.8,,,
aa8e289e,Nikola Vlašić,Croatia,MF,2.1,,,
c5065ef8,Abdulaziz Hatem,Qatar,MF,0.5,,,
d0a0858e,Armin Gigovic,Bosnia–Herz,MF,0.9,,,
e14e818c,Ben Old,New Zealand,MF,1.0,,,
e280527c,Marcel Sabitzer,Austria,MF,4.0,,,
10c12f22,Youssef Amyn,Iraq,MF,0.3,,,
a109e5c8,Lucas Bergvall,Sweden,MF,2.0,,,
4d224fe8,Casemiro,Brazil,MF,4.2,,,
b6867b96,Aziz Behich,Australia,MF,2.4,,,
0c295d6e,Elijah Just,New Zealand,MF,2.9,,,
935e6b8f,Jordan Henderson,England,MF,0.1,,,
c4486bac,Michael Olise,France,MF,7.2,,,
4a078e18,Mohammad Ghorbani,IR Iran,MF,1.0,,,
6434f10d,Rodri,Spain,MF,8.0,,,
b8e740fb,Ryan Gravenberch,Netherlands,MF,3.8,,,
