team,confederation,yellow_cards,matches_played
Argentina,CONMEBOL,13,8
Egypt,CAF,12,5
Canada,CONCACAF,11,5
Paraguay,CONMEBOL,9,5
Ecuador,CONMEBOL,8,4
England,UEFA,8,8
Brazil,CONMEBOL,8,5
Colombia,CONMEBOL,8,5
Bosnia and Herzegovina,UEFA,7,4
USA,CONCACAF,7,5
Curacao,CONCACAF,7,3
Haiti,CONCACAF,7,3
Morocco,CAF,7,6
Portugal,UEFA,7,5
Belgium,UEFA,6,6
Switzerland,UEFA,6,6
DR Congo,CAF,6,4
France,UEFA,6,8
Ghana,CAF,6,4
Iran,AFC,6,3
Saudi Arabia,AFC,6,3
Spain,UEFA,6,8
South Africa,CAF,5,4
Uruguay,CONMEBOL,5,3
Australia,AFC,5,4
Austria,UEFA,5,6
Cape Verde,CAF,5,4
Panama,CONCACAF,5,3
Scotland,UEFA,5,3
Sweden,UEFA,5,4
Qatar,AFC,4,3
Iraq,AFC,4,3
Mexico,CONCACAF,4,5
Croatia,UEFA,4,4
Ivory Coast,CAF,4,4
Japan,AFC,4,4
Jordan,AFC,4,3
New Zealand,OFC,4,3
South Korea,AFC,4,3
Uzbekistan,AFC,4,3
Algeria,CAF,3,4
Germany,UEFA,3,4
Netherlands,UEFA,3,4
Norway,UEFA,3,6
Senegal,CAF,3,4
Turkiye,UEFA,2,3
Czechia,UEFA,1,3
Tunisia,CAF,1,3
