team,avg_possession_pct,progress
Germany,65.2,Early exit
Spain,64.0,Quarterfinal+
Algeria,61.2,Early exit
Morocco,59.0,Quarterfinal+
Portugal,58.3,Early exit
Argentina,57.5,Quarterfinal+
Colombia,57.4,Early exit
USA,56.8,Early exit
France,55.7,Quarterfinal+
Ecuador,55.6,Early exit
Senegal,55.4,Early exit
Canada,54.2,Early exit
England,54.1,Quarterfinal+
Switzerland,54.1,Quarterfinal+
Netherlands,53.0,Early exit
Brazil,52.9,Early exit
Norway,52.2,Quarterfinal+
Mexico,52.1,Early exit
Egypt,51.6,Early exit
Belgium,51.1,Quarterfinal+
Croatia,49.8,Early exit
Ivory Coast,49.8,Early exit
South Africa,47.8,Early exit
Japan,46.5,Early exit
Sweden,46.1,Early exit
Bosnia and Herzegovina,45.7,Early exit
Austria,45.1,Early exit
Australia,41.0,Early exit
DR Congo,39.7,Early exit
Cape Verde,37.0,Early exit
Ghana,36.3,Early exit
Paraguay,29.7,Early exit
